Country,Unemployed Rate,Year
Russian Federation,4.715,2021
Saudi Arabia,6.621,2021
Thailand,1.215,2021
Turkiye,11.969,2021
United States,5.349,2021
Viet Nam,2.385,2021
United Arab Emirates,2.873,2022
Australia,3.701,2022
Bangladesh,5.247,2022
Brazil,9.231,2022
Canada,5.28,2022
China,4.98,2022
Germany,3.135,2022
"Egypt, Arab Rep.",7.344,2022
Spain,12.917,2022
France,7.308,2022
United Kingdom,3.73,2022
Indonesia,3.462,2022
India,4.822,2022
"Iran, Islamic Rep.",9.085,2022
Italy,8.069,2022
Japan,2.6,2022
"Korea, Rep.",2.857,2022
Mexico,3.256,2022
Malaysia,3.93,2022
Nigeria,3.827,2022
Netherlands,3.524,2022
Pakistan,5.548,2022
Philippines,2.598,2022
Poland,2.886,2022
Russian Federation,3.867,2022
Saudi Arabia,5.589,2022
Thailand,0.94,2022
Turkiye,10.432,2022
United States,3.65,2022
Viet Nam,1.535,2022
