Country,Human Development Index,Year,Happiness Score
Philippines,0.692,2021,5.88
Philippines,0.71,2022,5.904
Poland,0.869,2015,5.791
Poland,0.872,2016,5.835
Poland,0.874,2017,5.97300005
Poland,0.876,2018,6.123
Poland,0.88,2019,6.182
Poland,0.874,2020,6.186299801
Poland,0.876,2021,6.166
Poland,0.881,2022,6.123
Russia,0.823,2015,5.716
Russia,0.826,2016,5.856
Russia,0.827,2017,5.962999821
Russia,0.836,2018,5.81
Russia,0.839,2019,5.648
Russia,0.826,2020,5.546000004
Russia,0.818,2021,5.477
Russia,0.821,2022,5.459
Saudi Arabia,0.842,2015,6.411
Saudi Arabia,0.846,2016,6.379
Saudi Arabia,0.849,2017,6.343999863
Saudi Arabia,0.856,2018,6.371
Saudi Arabia,0.862,2019,6.375
Saudi Arabia,0.861,2020,6.406499863
Saudi Arabia,0.867,2021,6.494
Saudi Arabia,0.875,2022,6.523
South Korea,0.908,2015,5.984
South Korea,0.912,2016,5.835
South Korea,0.915,2017,5.837999821
South Korea,0.918,2018,5.875
South Korea,0.922,2019,5.895
South Korea,0.922,2020,5.872399807
South Korea,0.926,2021,5.845
South Korea,0.929,2022,5.935
Spain,0.889,2015,6.329
Spain,0.894,2016,6.361
Spain,0.896,2017,6.402999878
Spain,0.899,2018,6.31
Spain,0.904,2019,6.354
Spain,0.894,2020,6.400899887
Spain,0.904,2021,6.491
Spain,0.911,2022,6.476
Thailand,0.789,2015,6.455
Thailand,0.793,2016,6.474
Thailand,0.795,2017,6.423999786
Thailand,0.796,2018,6.072
Thailand,0.801,2019,6.008
Thailand,0.8,2020,5.998799801
Thailand,0.797,2021,5.985
Thailand,0.803,2022,5.891
Turkey,0.821,2015,5.332
Turkey,0.826,2016,5.389
Turkey,0.833,2017,5.5
Turkey,0.838,2018,5.483
Turkey,0.842,2019,5.373
Turkey,0.835,2020,5.131800175
Turkey,0.841,2021,4.948
Turkey,0.855,2022,4.744
United Arab Emirates,0.86,2015,6.901
United Arab Emirates,0.866,2016,6.573
United Arab Emirates,0.898,2017,6.647999763
United Arab Emirates,0.917,2018,6.774
United Arab Emirates,0.933,2019,6.825
United Arab Emirates,0.93,2020,6.790800095
United Arab Emirates,0.931,2021,6.561
United Arab Emirates,0.937,2022,6.576
United Kingdom,0.923,2015,6.867
United Kingdom,0.926,2016,6.725
United Kingdom,0.929,2017,6.714000225
United Kingdom,0.928,2018,7.19
United Kingdom,0.933,2019,7.054
United Kingdom,0.92,2020,7.164500237
United Kingdom,0.931,2021,7.064
United Kingdom,0.94,2022,6.943
United States,0.924,2015,7.119
United States,0.926,2016,7.104
United States,0.928,2017,6.993000031
United States,0.93,2018,6.886
United States,0.933,2019,6.892
United States,0.923,2020,6.939599991
United States,0.921,2021,6.951
United States,0.927,2022,6.977
Vietnam,0.697,2015,5.36
Vietnam,0.702,2016,5.061
Vietnam,0.706,2017,5.073999882
Vietnam,0.711,2018,5.103
Vietnam,0.717,2019,5.175
Vietnam,0.726,2020,5.353499889
Vietnam,0.718,2021,5.411
Vietnam,0.726,2022,5.485
